STATE,REGION,ACS_PCT_CTZ_US_BORN_ZC,ACS_PCT_FOREIGN_BORN_ZC,new_zipcode
Massachusetts,Northeast,91.22,8.78,01001
Massachusetts,Northeast,81.36,18.64,01059
Massachusetts,Northeast,81.36,18.64,01002
Massachusetts,Northeast,81.36,18.64,01004
Massachusetts,Northeast,84.26,15.74,01003
Massachusetts,Northeast,96.46,3.54,01005
Massachusetts,Northeast,92.96,7.04,01007
Massachusetts,Northeast,97.4,2.6,01008
Massachusetts,Northeast,100.0,0.0,01009
Massachusetts,Northeast,96.7,3.3,01010
Massachusetts,Northeast,96.03,3.97,01011
Massachusetts,Northeast,98.66,1.34,01012
Massachusetts,Northeast,87.68,12.32,01013
Massachusetts,Northeast,87.68,12.32,01014
Massachusetts,Northeast,92.43,7.57,01020
Massachusetts,Northeast,92.43,7.57,01021
Massachusetts,Northeast,93.69,6.31,01022
Massachusetts,Northeast,91.65,8.35,01026
Massachusetts,Northeast,94.2,5.8,01027
Massachusetts,Northeast,95.12,4.88,01028
Massachusetts,Northeast,98.43,1.57,01029
Massachusetts,Northeast,93.82,6.18,01030
Massachusetts,Northeast,98.12,1.88,01031
Massachusetts,Northeast,99.17,0.83,01032
Massachusetts,Northeast,95.15,4.85,01033
Massachusetts,Northeast,94.8,5.2,01034
Massachusetts,Northeast,90.28,9.72,01035
Massachusetts,Northeast,98.28,1.72,01036
Massachusetts,Northeast,93.15,6.85,01037
Massachusetts,Northeast,94.87,5.13,01038
Massachusetts,Northeast,95.91,4.09,01039
Massachusetts,Northeast,93.68,6.32,01041
Massachusetts,Northeast,93.68,6.32,01040
Massachusetts,Northeast,96.09,3.91,01050
Massachusetts,Northeast,97.84,2.16,01053
Massachusetts,Northeast,92.16,7.84,01054
Massachusetts,Northeast,85.09,14.91,01056
Massachusetts,Northeast,96.97,3.03,01057
Massachusetts,Northeast,89.58,10.42,01060
Massachusetts,Northeast,89.58,10.42,01061
Massachusetts,Northeast,92.5,7.5,01062
Massachusetts,Northeast,85.55,14.45,01063
Massachusetts,Northeast,100.0,0.0,01066
Massachusetts,Northeast,96.88,3.12,01068
Massachusetts,Northeast,92.77,7.23,01069
Massachusetts,Northeast,94.99,5.01,01070
Massachusetts,Northeast,96.84,3.16,01071
Massachusetts,Northeast,94.16,5.84,01072
Massachusetts,Northeast,93.71,6.29,01073
Massachusetts,Northeast,87.12,12.88,01074
Massachusetts,Northeast,91.52,8.48,01075
Massachusetts,Northeast,96.21,3.79,01077
Massachusetts,Northeast,100.0,0.0,01079
Massachusetts,Northeast,93.3,6.7,01080
Massachusetts,Northeast,97.47,2.53,01081
Massachusetts,Northeast,96.61,3.39,01082
Massachusetts,Northeast,95.94,4.06,01083
Massachusetts,Northeast,96.97,3.03,01084
Massachusetts,Northeast,90.85,9.15,01085
Massachusetts,Northeast,90.85,9.15,01086
